COUNT	TERM	LEMMA	POS_COUNTS
4622	dû	devoir	VERB:4622
4579	Ainsi	ainsi	ADV:4579
4551	murmura	murmurer	VERB:4551
4537	cheveux	cheveu	NOUN:4537
4531	disant	dire	VERB:4531
4509	D'ailleurs	d'ailleurs	ADV:4506;ADJ:1;DET:1;NOUN:1
4505	seconde	second	ADJ:4235;NOUN:270
4504	faite	faire	VERB:4394;AUX:110
4498	trouvé	trouver	VERB:4498
4465	Votre	votre	DET:4398;VERB:59;ADJ:6;ADV:1;SCONJ:1
4438	donne	donner	VERB:4438
4403	Moi	moi	PRON:4403
4351	demande	demander	VERB:4351
4315	perdu	perdre	VERB:4315
4262	ait	avoir	AUX:3502;VERB:760
4226	attendait	attendre	VERB:4226
4223	compagnons	compagnon	NOUN:4223
4209	Or	or	NOUN:4209
4166	idées	idée	NOUN:4166
4149	arrêta	arrêter	VERB:4149
4134	arrivé	arriver	VERB:4134
4130	donnait	donner	VERB:4130
4103	passa	passer	VERB:4103
4098	aura	avoir	VERB:2840;AUX:1258
4096	pourrait	pouvoir	VERB:4096
4082	regardait	regarder	VERB:4082
4079	leva	lever	VERB:4079
4072	Pendant	pendant	ADP:4072
4072	d'autres	d'autre	PRON:4072
4048	petits	petit	ADJ:3959;NOUN:89
4032	affaires	affaire	NOUN:4032
4023	Des	un	ADP_DET:2694;DET:1327;ADJ:1;NOUN:1
4002	cria	crier	VERB:4002
3966	paraissait	paraître	VERB:3966
3959	trouve	trouver	VERB:3959
3912	Qui	qui	PRON:3912
3896	laissa	laisser	VERB:3896
3886	étant	être	AUX:3830;VERB:56
3868	voulut	vouloir	VERB:3868
3848	arbres	arbre	NOUN:3848
3846	jeta	jeter	VERB:3846
3843	grandes	grand	ADJ:3836;NOUN:7
3842	Le	le:PRON	PRON:3842
3807	sentait	sentir	VERB:3807
3802	répliqua	répliquer	VERB:3802
3793	allons	aller	VERB:3793
3772	fais	faire	VERB:3183;AUX:589
3710	mort	mourir	VERB:3710
3705	ouvrit	ouvrir	VERB:3705
3701	maîtresse	maître	NOUN:3701
3700	restait	rester	VERB:3700
3685	passait	passer	VERB:3685
3654	regardant	regarder	VERB:3654
3633	fleurs	fleur	NOUN:3633
3632	coups	coup	NOUN:3632
3605	Là	là	ADV:3605
3572	eussent	avoir	VERB:3285;AUX:287
3572	tes	ton	DET:3572
3554	premiers	premier	ADJ:3550;NOUN:4
3540	laissé	laisser	VERB:3540
3512	dois	devoir	VERB:3512
3498	princesse	prince	NOUN:3498
3495	livres	livre	NOUN:3495
3492	resta	rester	VERB:3492
3487	donna	donner	VERB:3487
3473	longue	long	ADJ:3473
3472	connais	connaître	VERB:3472
3457	regards	regard	NOUN:3457
3457	sortit	sortir	VERB:3457
3449	paraît	paraître	VERB:3449
3430	épaules	épaule	NOUN:3430
3397	parle	parler	VERB:3397
3377	entra	entrer	VERB:3377
3373	Où	où	PRON:3373
3358	personnes	personne	NOUN:3358
3346	cris	cri	NOUN:3346
3314	croyez	croire	VERB:3314
3284	telle	tel	DET:1837;PRON:1447
3278	Depuis	depuis	ADP:2944;ADV:334
3268	reçu	recevoir	VERB:3268
3259	années	année	NOUN:3259
3251	ordres	ordre	NOUN:3251
3242	aimait	aimer	VERB:3242
3236	Maintenant	maintenant	ADV:3236
3236	Voyons	voir	VERB:3236
3234	aperçut	apercevoir	VERB:3234
3230	marquise	marquis	NOUN:3230
3221	font	faire	VERB:2528;AUX:693
3219	parlait	parler	VERB:3219
3213	celles	celle	PRON:3213
3203	revint	revenir	VERB:3203
3185	heureuse	heureux	ADJ:2438;NOUN:747
3160	appelle	appeler	VERB:3160
3146	entendit	entendre	VERB:3146
3139	cru	croire	VERB:3139
3138	genoux	genou	NOUN:3138
3118	Par	par	ADP:3118
3117	armes	arme	NOUN:3117
3108	viens	venir	VERB:3108
3103	Peut-être	peut-être	ADV:3103
3095	Rien	rien	PRON:3084;NOUN:11
3079	soldats	soldat	NOUN:3079
3078	arriva	arriver	VERB:3078
3055	portait	porter	VERB:3055
3036	pouvaient	pouvoir	VERB:3036
3015	profonde	profond	ADJ:3015
2997	eaux	eau	NOUN:2997
2992	reste	rester	VERB:2992
2980	croyait	croire	VERB:2980
2974	pense	penser	VERB:2974
2971	faisaient	faire	VERB:2708;AUX:263
2970	douce	doux	ADJ:2360;NOUN:610
2965	lettres	lettre	NOUN:2965
2956	parlé	parler	VERB:2956
2915	pareille	pareil	NOUN:2410;ADJ:505
2913	filles	fille	NOUN:2913
2910	pouvez	pouvoir	VERB:2910
2903	Ses	son	DET:2903
2894	connaissait	connaître	VERB:2894
2867	Est	être	AUX:2751;VERB:113;X:3
2842	certaine	certain	ADJ:2804;DET:35;PRON:3
2841	pût	pouvoir	VERB:2841
2826	fini	finir	VERB:2826
2805	petites	petit	ADJ:2761;NOUN:44
2801	serai	être	AUX:1875;VERB:926
2800	Sur	sur	ADP:2767;ADJ:33
2791	devaient	devoir	VERB:2791
2787	voit	voir	VERB:2620;AUX:167
2784	comprends	comprendre	VERB:2784
2775	beaux	beau	ADJ:2775
2762	compris	comprendre	VERB:2762
2752	Majesté	majesté	NOUN:2742;VERB:6;CCONJ:2;X:2
2735	jambes	jambe	NOUN:2735
2728	serais	être	AUX:2460;VERB:268
2724	haute	haut	ADJ:2724
2711	lieues	lieue	NOUN:2711
2708	arrive	arriver	VERB:2708
2702	peux	pouvoir	VERB:2702
2695	forces	force	NOUN:2695
2687	sentit	sentir	VERB:2687
2680	prenait	prendre	VERB:2680
2679	prenant	prendre	VERB:2679
2668	souriant	sourire	VERB:2668
2666	Pas	pas	ADV:2659;NOUN:7
2658	riant	rire	VERB:2658
2636	blanche	blanc	ADJ:2620;NOUN:16
2631	forte	fort	ADJ:2631
2630	laissait	laisser	VERB:2630
2601	agit	agir	VERB:2601
2594	laissant	laisser	VERB:2594
2593	milles	mille	NOUN:2593
2591	venaient	venir	VERB:2591
2588	belles	beau	ADJ:2575;NOUN:13
2564	espère	espérer	VERB:2564
2562	répéta	répéter	VERB:2562
2561	passe	passer	VERB:2561
2558	attendant	attendre	VERB:2558
2556	Seulement	seulement	ADV:2556
2551	quitté	quitter	VERB:2551
