COUNT	TERM	LEMMA	CORPUS_SHARE	WORD_FORM	WORD_FREQ	WORD_DOMINANT_LEMMA	WORD_DOMINANT_FREQ	WORD_RATIO	POS_COUNTS
196	coupe	couper	0.292537	coupe	17.77	coupe	33.58	1.890	VERB:196
196	pressant	pressant	0.437500	pressant	2.50	presser	4.53	1.812	ADJ:196
194	aide	aider	0.112725	aide	18.38	aide	52.30	2.845	VERB:194
192	place	placer	0.018547	place	15.14	place	437.97	28.928	VERB:192
190	résignée	résigner	0.837004	résignée	1.89	résigné	3.58	1.894	VERB:190
190	convenue	convenir	1.000000	convenue	0.68	convenu	1.22	1.794	VERB:190
188	armés	armé	0.271676	armés	5.14	armer	7.91	1.539	ADJ:188
188	ennuyé	ennuyer	0.895238	ennuyé	2.23	ennuyé	2.43	1.090	VERB:188
187	envoyé	envoyé	0.102410	envoyé	3.51	envoyer	35.20	10.028	NOUN:187
187	plaisant	plaire	0.873832	plaisant	0.81	plaisant	4.32	5.333	VERB:187
186	fini	fini	0.061753	fini	12.36	finir	149.26	12.076	ADJ:186
185	garni	garni	0.516760	garni	2.36	garnir	3.99	1.691	ADJ:185
185	plongée	plonger	0.968586	plongée	3.24	plongée	5.34	1.648	VERB:185
184	charmant	charmer	0.125512	charmant	1.76	charmant	19.86	11.284	VERB:184
184	occupant	occuper	0.855814	occupant	3.24	occupant	4.40	1.358	VERB:184
183	reçu	reçu	0.053028	reçu	4.93	recevoir	56.15	11.389	NOUN:182;ADJ:1
183	hébété	hébéter	0.943299	hébété	0.54	hébété	2.84	5.259	VERB:183
182	voyage	voyager	0.035890	voyage	4.59	voyage	110.54	24.083	VERB:182
182	cassé	cassé	0.506964	cassé	7.43	casser	15.88	2.137	ADJ:182
181	protégé	protégé	0.460560	protégé	5.61	protéger	6.69	1.193	NOUN:173;ADJ:8
181	suppliant	suppliant	0.637324	suppliant	2.77	supplier	3.11	1.123	ADJ:181
180	atteinte	atteindre	0.414747	atteinte	5.20	atteinte	5.95	1.144	VERB:180
178	enveloppés	envelopper	0.972678	enveloppés	2.23	enveloppé	2.50	1.121	VERB:178
