TERM_TOTAL	LEMMA_COUNT	CORPUS_SHARE	TERM	LEMMA	POS_COUNTS
4784	4779	0.998955	Ma	mon	DET:4779
4784	5	0.001045	Ma	Ma	PROPN:5
4769	3205	0.672049	sens	sens	NOUN:3205
4769	1564	0.327951	sens	sentir	VERB:1564
4678	4198	0.897392	cause	cause	NOUN:4198
4678	480	0.102608	cause	causer	VERB:480
4649	4622	0.994192	dû	devoir	VERB:4622
4649	27	0.005808	dû	dû	NOUN:26;ADJ:1
4614	3590	0.778067	garde	garde	NOUN:3590
4614	1024	0.221933	garde	garder	VERB:1024
4562	3406	0.746602	signe	signe	NOUN:3406
4562	1156	0.253398	signe	signer	VERB:1156
4534	4504	0.993383	faite	faire	VERB:4394;AUX:110
4534	30	0.006617	faite	fait	ADJ:30
4519	4505	0.996902	seconde	second	ADJ:4235;NOUN:270
4519	14	0.003098	seconde	seconder	VERB:14
4512	4509	0.999335	D'ailleurs	d'ailleurs	ADV:4506;ADJ:1;DET:1;NOUN:1
4512	3	0.000665	D'ailleurs	D'ailleurs	PROPN:3
4499	4498	0.999778	trouvé	trouver	VERB:4498
4499	1	0.000222	trouvé	trouvé	ADJ:1
4498	4211	0.936194	part	part	NOUN:4211
4498	287	0.063806	part	partir	VERB:287
4484	4438	0.989741	donne	donner	VERB:4438
4484	46	0.010259	donne	donne	NOUN:46
4405	4403	0.999546	Moi	moi	PRON:4403
4405	2	0.000454	Moi	Moi	PROPN:2
4331	4307	0.994459	bouche	bouche	NOUN:4307
4331	24	0.005541	bouche	boucher	VERB:24
4273	4209	0.985022	Or	or	NOUN:4209
4273	43	0.010063	Or	Or	PROPN:43
4273	21	0.004915	Or	or:CCONJ	CCONJ:20;X:1
4251	2757	0.648553	droite	droite	NOUN:2757
4251	1494	0.351447	droite	droit	ADJ:1494
4135	4134	0.999758	arrivé	arriver	VERB:4134
4135	1	0.000242	arrivé	arrivé	ADJ:1
4106	4098	0.998052	aura	avoir	VERB:2840;AUX:1258
4106	8	0.001948	aura	aura	NOUN:8
4098	3680	0.897999	veille	veille	NOUN:3680
4098	418	0.102001	veille	veiller	VERB:418
4030	4023	0.998263	Des	un	ADP_DET:2694;DET:1327;ADJ:1;NOUN:1
4030	7	0.001737	Des	Des	PROPN:7
3914	3912	0.999489	Qui	qui	PRON:3912
3914	2	0.000511	Qui	Qui	PROPN:2
3855	3226	0.836835	marche	marche	NOUN:3226
3855	629	0.163165	marche	marcher	VERB:629
3852	3654	0.948598	regardant	regarder	VERB:3654
3852	198	0.051402	regardant	regardant	ADJ:198
3843	3825	0.995316	départ	départ	NOUN:3825
3843	18	0.004684	départ	départir	VERB:18
3843	2200	0.572469	nouvelles	nouveau	ADJ:2200
3843	1643	0.427531	nouvelles	nouvelle	NOUN:1643
3801	3781	0.994738	dame	dame	NOUN:3781
3801	20	0.005262	dame	damer	VERB:20
3606	3605	0.999723	Là	là	ADV:3605
3606	1	0.000277	Là	Là	PROPN:1
3537	3504	0.990670	peuple	peuple	NOUN:3504
3537	33	0.009330	peuple	peupler	VERB:33
3515	3511	0.998862	ombre	ombre	NOUN:3511
3515	4	0.001138	ombre	ombrer	VERB:4
3510	3495	0.995726	livres	livre	NOUN:3495
3510	15	0.004274	livres	livrer	VERB:15
3493	1890	0.541082	Sire	sire	NOUN:1890
3493	1603	0.458918	Sire	Sire	PROPN:1603
3485	2663	0.764132	arrivée	arrivée	NOUN:2663
3485	803	0.230416	arrivée	arriver	VERB:803
3485	19	0.005452	arrivée	arrivé	ADJ:19
3451	3268	0.946972	reçu	recevoir	VERB:3268
3451	183	0.053028	reçu	reçu	NOUN:182;ADJ:1
3433	3430	0.999126	épaules	épaule	NOUN:3430
3433	3	0.000874	épaules	épauler	VERB:3
3411	3377	0.990032	brave	brave	ADJ:3204;NOUN:173
3411	34	0.009968	brave	braver	VERB:34
3398	3229	0.950265	but	but	NOUN:3229
3398	169	0.049735	but	boire	VERB:169
3387	3345	0.987600	foule	foule	NOUN:3345
3387	42	0.012400	foule	fouler	VERB:42
3378	2451	0.725577	doute	doute	NOUN:2451
3378	927	0.274423	doute	douter	VERB:927
3374	3373	0.999704	Où	où	PRON:3373
3374	1	0.000296	Où	Où	PROPN:1
3277	3002	0.916082	armée	armée	NOUN:3002
3277	201	0.061337	armée	armé	ADJ:201
3277	74	0.022582	armée	armer	VERB:74
3277	3139	0.957888	cru	croire	VERB:3139
3277	138	0.042112	cru	cru	NOUN:95;ADJ:43
3244	3236	0.997534	Voyons	voir	VERB:3236
3244	8	0.002466	Voyons	Voyons	PROPN:8
3241	3236	0.998457	Maintenant	maintenant	ADV:3236
3241	5	0.001543	Maintenant	maintenir	VERB:5
3227	2859	0.885962	surprise	surprise	NOUN:2859
3227	214	0.066315	surprise	surpris	ADJ:214
3227	154	0.047722	surprise	surprendre	VERB:154
3195	3062	0.958372	bout	bout	NOUN:3062
3195	133	0.041628	bout	bouillir	VERB:133
3130	3117	0.995847	armes	arme	NOUN:3117
3130	13	0.004153	armes	armer	VERB:13
3125	3118	0.997760	Par	par	ADP:3118
3125	7	0.002240	Par	Par	PROPN:7
3119	3084	0.988778	sombre	sombre	ADJ:3084
3119	35	0.011222	sombre	sombrer	VERB:35
3036	2867	0.944335	Est	être	AUX:2751;VERB:113;X:3
3036	117	0.038538	Est	Est	PROPN:117
3036	52	0.017128	Est	est	NOUN:52
3035	2968	0.977924	courant	courant	NOUN:2766;ADJ:200;ADP:2
3035	67	0.022076	courant	courir	VERB:67
3012	2826	0.938247	fini	finir	VERB:2826
3012	186	0.061753	fini	fini	ADJ:186
3006	2845	0.946440	cours	cours	NOUN:2845
3006	161	0.053560	cours	courir	VERB:161
2980	2141	0.718456	prise	prendre	VERB:2141
2980	830	0.278523	prise	prise	NOUN:830
2980	9	0.003020	prise	pris	ADJ:9
2966	2668	0.899528	souriant	sourire	VERB:2668
2966	298	0.100472	souriant	souriant	ADJ:298
2958	2956	0.999324	parlé	parler	VERB:2956
2958	2	0.000676	parlé	parlé	ADJ:2
2938	2561	0.871681	passe	passer	VERB:2561
2938	377	0.128319	passe	passe	NOUN:377
2904	2641	0.909435	ferme	ferme	NOUN:1584;ADJ:1057
2904	263	0.090565	ferme	fermer	VERB:263
2824	2608	0.923513	mesure	mesure	NOUN:2608
2824	216	0.076487	mesure	mesurer	VERB:216
2806	2658	0.947256	riant	rire	VERB:2658
2806	148	0.052744	riant	riant	ADJ:148
2797	2787	0.996425	distance	distance	NOUN:2787
2797	10	0.003575	distance	distancer	VERB:10
2765	2762	0.998915	compris	comprendre	VERB:2762
2765	3	0.001085	compris	compris	ADJ:3
2730	2679	0.981319	prenant	prendre	VERB:2679
2730	51	0.018681	prenant	prenant	ADJ:51
2716	2601	0.957658	double	double	ADJ:1707;NOUN:894
2716	115	0.042342	double	doubler	VERB:115
2716	2695	0.992268	forces	force	NOUN:2695
2716	21	0.007732	forces	forcer	VERB:21
2689	2643	0.982893	visite	visite	NOUN:2643
2689	46	0.017107	visite	visiter	VERB:46
2687	2250	0.837365	entrée	entrée	NOUN:2250
2687	437	0.162635	entrée	entrer	VERB:437
2679	2667	0.995521	grave	grave	ADJ:2647;NOUN:20
2679	12	0.004479	grave	graver	VERB:12
2672	2666	0.997754	Pas	pas	ADV:2659;NOUN:7
2672	6	0.002246	Pas	Pas	PROPN:6
2672	1877	0.702470	suivant	suivant	ADP:1130;ADJ:697;NOUN:49;ADV:1
2672	795	0.297530	suivant	suivre	VERB:795
2595	2420	0.932563	venue	venir	VERB:2420
2595	175	0.067437	venue	venue	NOUN:175
2590	2576	0.994595	poste	poste	NOUN:2576
2590	14	0.005405	poste	poster	VERB:14
2571	2545	0.989887	taille	taille	NOUN:2545
2571	26	0.010113	taille	tailler	VERB:26
2564	1916	0.747270	sort	sort	NOUN:1916
2564	648	0.252730	sort	sortir	VERB:648
2555	1855	0.726027	Tous	tout	ADJ:1855
2555	698	0.273190	Tous	tous	PRON:691;DET:7
2555	2	0.000783	Tous	Tous	PROPN:2
2543	2244	0.882422	rêve	rêve	NOUN:2244
2543	299	0.117578	rêve	rêver	VERB:299
2511	2510	0.999602	Bien	bien	ADV:2380;NOUN:130
2511	1	0.000398	Bien	Bien	PROPN:1
2493	2414	0.968311	portes	porte	NOUN:2414
2493	79	0.031689	portes	porter	VERB:79
2484	2050	0.825282	vive	vif	ADJ:2050
2484	333	0.134058	vive	vivre	VERB:333
2484	101	0.040660	vive	vive	NOUN:101
2450	2024	0.826122	conduite	conduite	NOUN:2024
2450	425	0.173469	conduite	conduire	VERB:425
2450	1	0.000408	conduite	conduit	ADJ:1
2441	2235	0.915608	chasse	chasse	NOUN:2235
2441	206	0.084392	chasse	chasser	VERB:206
2437	2361	0.968814	envie	envie	NOUN:2361
2437	76	0.031186	envie	envier	VERB:76
2418	2290	0.947064	vis	voir	VERB:2290
2418	128	0.052936	vis	vis	NOUN:128
2399	2299	0.958316	crainte	crainte	NOUN:2299
2399	100	0.041684	crainte	craindre	VERB:100
2388	2334	0.977387	laisse	laisser	VERB:2334
2388	54	0.022613	laisse	laisse	NOUN:54
2345	2343	0.999147	poche	poche	NOUN:2343
2345	2	0.000853	poche	pocher	VERB:2
2343	2331	0.994878	Jamais	jamais	ADV:2329;X:2
2343	12	0.005122	Jamais	Jamais	PROPN:12
2327	1266	0.544048	faits	fait	NOUN:1250;ADJ:16
2327	1061	0.455952	faits	faire	VERB:1061
2310	2304	0.997403	suivi	suivre	VERB:2304
2310	6	0.002597	suivi	suivi	NOUN:5;ADJ:1
2305	2304	0.999566	secours	secours	NOUN:2304
2305	1	0.000434	secours	secourir	VERB:1
2291	2206	0.962898	lutte	lutte	NOUN:2206
2291	85	0.037102	lutte	lutter	VERB:85
2280	2017	0.884649	livre	livre	NOUN:2017
2280	263	0.115351	livre	livrer	VERB:263
2278	2277	0.999561	Avec	avec	ADP:2277
2278	1	0.000439	Avec	Avec	PROPN:1
2276	2202	0.967487	assis	asseoir	VERB:2202
2276	74	0.032513	assis	assis	ADJ:74
2255	1506	0.667849	rencontre	rencontre	NOUN:1506
2255	749	0.332151	rencontre	rencontrer	VERB:749
2236	2212	0.989267	curé	curé	NOUN:2212
2236	24	0.010733	curé	curer	VERB:24
2223	2218	0.997751	rendu	rendre	VERB:2218
2223	5	0.002249	rendu	rendu	NOUN:5
2221	2208	0.994147	faute	faute	NOUN:2208
