COUNT	TERM	POS_COUNTS
31	ombu	NOUN:31
31	railroad	NOUN:25;X:6
30	bank-notes	NOUN:30
30	befana	X:28;NOUN:2
30	fashion	NOUN:30
30	nu-tête	NOUN:21;ADJ:6;ADP:3
30	orignals	NOUN:28;ADJ:1;X:1
30	raudal	NOUN:26;ADJ:2;AUX:1;PRON:1
29	demi-kilomètre	NOUN:29
29	esde	NOUN:14;ADP:8;PRON:5;VERB:2
29	gaard	NOUN:29
29	lo	ADP:15;DET:9;X:4;VERB:1
29	ouiche	NOUN:23;ADJ:5;DET:1
29	sanfédiste	ADJ:26;NOUN:3
28	garde-général	NOUN:27;ADJ:1
28	gig	NOUN:28
28	railroads	NOUN:28
28	steamboat	NOUN:26;PRON:1;X:1
28	très-riche	ADV:24;NOUN:3;ADJ:1
27	fenians	NOUN:27
27	fois.	NOUN:27
27	harmoniait	VERB:27
27	u	VERB:14;NOUN:6;X:5;ADP_DET:1;CCONJ:1
27	à-compte	NOUN:24;DET:3
26	chén'ral	NOUN:26
26	faquir	NOUN:25;VERB:1
26	grand-prévôt	NOUN:24;ADV:2
26	maréchal-des-logis	NOUN:26
26	onaggas	NOUN:24;PRON:1;X:1
26	per	VERB:23;ADJ:1;ADP:1;X:1
26	sealing-master	NOUN:25;SCONJ:1
26	très-cher	NOUN:14;ADV:9;ADP:3
25	alaskienne	ADJ:25
25	campieri	NOUN:25
25	demi-sourire	NOUN:25
25	etc	ADV:24;X:1
25	gitanos	NOUN:21;DET:2;ADJ:1;ADP:1
25	hip	NOUN:25
25	iman	NOUN:24;ADJ:1
25	improper	VERB:15;ADJ:9;SCONJ:1
25	maître-voilier	NOUN:25
25	montame	NOUN:14;VERB:11
25	pianto	NOUN:24;VERB:1
25	très-grande	NOUN:21;ADV:2;ADP:1;DET:1
25	von	X:25
24	conducteur-chef	NOUN:24
24	delle	ADP:14;ADJ:7;NOUN:2;X:1
24	gallien	ADJ:24
24	hips	NOUN:24
24	mons	NOUN:18;ADJ:3;VERB:3
24	ngora	VERB:11;X:11;NOUN:2
24	p	NOUN:18;X:6
24	pah	NOUN:24
24	sauteriot	NOUN:18;VERB:6
23	aide-de-camp	NOUN:23
23	biró	NOUN:23
23	blis	NOUN:9;ADJ:5;VERB:5;ADV:4
23	droschki	NOUN:23
23	dugazon	NOUN:22;ADP_DET:1
23	guariba	NOUN:12;X:11
23	môsieur	NOUN:21;ADJ:2
23	qué	VERB:22;PRON:1
23	vico	NOUN:20;X:3
23	vrancs	ADJ:19;NOUN:4
23	z	NOUN:9;VERB:6;X:5;DET:2;ADV:1
22	catapaz	NOUN:22
22	cerro	NOUN:22
22	clairin	NOUN:21;ADJ:1
22	dampfschiff	NOUN:22
22	esd	VERB:13;AUX:5;NOUN:3;ADJ:1
22	galera	NOUN:22
22	machineur	NOUN:22
22	mufe	NOUN:19;ADJ:3
22	méli-mélonite	NOUN:22
22	nord-nord-ouest	NOUN:22
22	notaresse	NOUN:22
22	perme	NOUN:21;VERB:1
22	rail-road	NOUN:18;X:4
22	très-humble	NOUN:19;ADV:2;DET:1
22	êdes	DET:13;ADJ:4;NOUN:4;PRON:1
21	a.	NOUN:16;PRON:5
21	chevau	NOUN:20;VERB:1
21	demi-pied	NOUN:21
21	el	X:11;ADJ:4;ADP:3;ADV:1;DET:1;PRON:1
21	fu	NOUN:17;ADJ:1;CCONJ:1;DET:1;VERB:1
21	gar	VERB:10;X:7;ADP:3;NOUN:1
21	goyot	NOUN:21
21	iarl	NOUN:15;ADJ:4;PRON:2
21	mani	X:16;NOUN:5
21	pon	NOUN:10;ADV:6;ADP:3;ADJ:1;X:1
21	sanitarium	NOUN:21
21	très-jolie	NOUN:14;DET:3;ADV:2;PRON:1;VERB:1
21	vermicellier	NOUN:17;ADJ:3;VERB:1
20	afec	ADP:16;NOUN:3;ADV:1
20	au Caire	ADP_DET:10;ADJ:4;NOUN:4;ADP:2
20	demi-pistole	NOUN:20
20	havildar	NOUN:20
20	jomâtres	ADJ:20
20	orang	NOUN:20
20	parthénopéenne	ADJ:20
20	re	NOUN:16;ADJ:3;VERB:1
20	steamboats	NOUN:20
20	torçonnier	NOUN:18;ADJ:2
20	très-difficile	NOUN:7;ADJ:5;ADV:3;DET:3;ADP:2
20	très-sérieusement	ADV:20
20	vaire	VERB:10;ADJ:5;NOUN:5
20	è	ADP:14;X:4;PRON:1;VERB:1
19	chikaris	NOUN:17;X:2
19	comfort	NOUN:17;VERB:2
19	dalécarlien	NOUN:13;ADJ:3;ADP:3
19	demi-portée	DET:14;NOUN:5
19	demi-verre	NOUN:19
19	gitanillo	NOUN:19
19	grand-faim	DET:7;NOUN:6;PRON:6
19	mgannga	NOUN:18;ADV:1
19	monsou	NOUN:12;VERB:4;CCONJ:3
19	pir	ADP:13;VERB:3;NOUN:2;ADJ:1
19	raudals	NOUN:19
19	ruward	NOUN:19
19	très-haut	ADV:17;NOUN:2
19	très-souvent	ADV:19
18	alle	NOUN:9;ADJ:5;VERB:4
18	bianchi	NOUN:17;ADV:1
18	centig	NOUN:18
18	coup-d'œil	NOUN:18
18	dining-car	NOUN:18
18	espilla	NOUN:18
18	herr	NOUN:18
18	lazo	NOUN:18
18	mame	NOUN:18
18	meurt-de-faim	NOUN:18
18	nº	ADP:6;VERB:5;NOUN:4;ADV:2;ADJ:1
18	néréide	NOUN:18
18	rangouns	NOUN:17;ADJ:1
18	trabacolo	NOUN:18
18	très-habilement	ADV:18
18	très-sérieux	ADV:11;ADJ:6;NOUN:1
17	cerros	NOUN:13;DET:2;ADP:1;PRON:1
17	claqueurs	NOUN:17
17	comitat	NOUN:17
17	convict	NOUN:17
17	corte	NOUN:16;VERB:1
17	floridien	ADJ:17
17	fodre	NOUN:7;VERB:7;ADP:3
17	guanaques	NOUN:17
17	not	ADV:10;X:4;NOUN:2;VERB:1
17	pa	VERB:9;NOUN:7;AUX:1
17	partner	NOUN:15;VERB:2
17	procurateur-caissier	NOUN:17
17	rin	NOUN:9;ADJ:6;ADP_DET:1;ADV:1
17	sous-préfette	NOUN:17
17	spinifex	NOUN:17
17	subrogé-tuteur	NOUN:17
17	to	X:17
17	tonc	ADV:11;X:3;NOUN:2;ADP:1
17	très-content	ADV:17
17	très-jeune	ADV:9;NOUN:7;DET:1
17	très-loin	ADV:16;NOUN:1
17	très-vite	ADV:17
17	é	VERB:10;NOUN:4;ADJ:2;X:1
16	afre	VERB:10;ADJ:4;ADV:1;NOUN:1
16	burattini	NOUN:14;ADJ:2
16	chubasco	NOUN:13;VERB:2;X:1
16	cm.	NOUN:15;DET:1
16	coppers	NOUN:15;X:1
16	culammak	NOUN:15;X:1
16	cum	X:15;VERB:1
16	dining-room	NOUN:16
